SubjectID	Predicate	ObjectID	CombinedString
http://schema.org/CreativeWork	http://schema.org/telegram	owl:Thing	CreativeWork; telegram; Thing
http://schema.org/CreativeWork	http://schema.org/discord	owl:Thing	CreativeWork; discord; Thing
http://schema.org/CreativeWork	http://schema.org/about	http://schema.org/owl:Thing	CreativeWork; about; owl:Thing
http://schema.org/Event	http://schema.org/about	http://schema.org/owl:Thing	Event; about; owl:Thing
http://schema.org/Event	http://schema.org/creator	http://schema.org/owl:Thing	Event; creator; owl:Thing
http://schema.org/Event	http://schema.org/creator	http://schema.org/Person	Event; creator; Person
http://schema.org/CreativeWork	http://schema.org/datecreated	owl:Thing	CreativeWork; datecreated; Thing
http://schema.org/Event	http://schema.org/datecreated	owl:Thing	Event; datecreated; Thing
http://schema.org/Event	http://schema.org/datetext	owl:Thing	Event; datetext; Thing
http://schema.org/Event	http://schema.org/enddate	owl:Thing	Event; enddate; Thing
http://schema.org/Event	http://schema.org/eventtype	owl:Thing	Event; eventtype; Thing
http://schema.org/CreativeWork	http://schema.org/keywords	owl:Thing	CreativeWork; keywords; Thing
http://schema.org/Event	http://schema.org/keywords	owl:Thing	Event; keywords; Thing
http://schema.org/Event	http://schema.org/locationcity	owl:Thing	Event; locationcity; Thing
http://schema.org/Event	http://schema.org/startdate	owl:Thing	Event; startdate; Thing
http://schema.org/Event	http://schema.org/performer	http://schema.org/owl:Thing	Event; performer; owl:Thing
http://schema.org/CreativeWork	http://schema.org/mentions	http://schema.org/MediaNode	CreativeWork; mentions; MediaNode
http://schema.org/CreativeWork	http://schema.org/mentions	http://schema.org/Organization	CreativeWork; mentions; Organization
http://schema.org/CreativeWork	http://schema.org/mentions	http://schema.org/Person	CreativeWork; mentions; Person
http://schema.org/Event	http://schema.org/mentions	http://schema.org/MediaNode	Event; mentions; MediaNode
http://schema.org/Event	http://schema.org/mentions	http://schema.org/Organization	Event; mentions; Organization
http://schema.org/Event	http://schema.org/mentions	http://schema.org/Person	Event; mentions; Person
http://schema.org/CreativeWork	http://schema.org/author	http://schema.org/Organization	CreativeWork; author; Organization
http://schema.org/CreativeWork	http://schema.org/author	http://schema.org/Person	CreativeWork; author; Person
http://schema.org/CreativeWork	http://schema.org/excerpt	owl:Thing	CreativeWork; excerpt; Thing
